delta,eps,n,cs_radius,plugin_radius
0.01,0.02,2094,2.0502922799349848,1.8962526967508655
0.01,0.05,2094,1.725246165298279,1.6158311492991833
0.01,0.1,2094,1.4427056150321111,1.3418214429884598
0.01,0.2,2094,1.0881673398529865,0.9826406757685624
0.05,0.02,2094,2.0171457043204195,1.8962526967508655
0.05,0.05,2094,1.7212391662908317,1.6158311492991833
0.05,0.1,2094,1.4187663811706255,1.3418214429884598
0.05,0.2,2094,1.0735603754341,0.9826406757685624
0.1,0.02,2094,1.9954876714341196,1.8962526967508655
0.1,0.05,2094,1.6984157764313865,1.6158311492991833
0.1,0.1,2094,1.4133650597946832,1.3418214429884598
0.1,0.2,2094,1.0564109553258358,0.9826406757685624
0.2,0.02,2094,1.984816751899345,1.8962526967508655
0.2,0.05,2094,1.694378752482655,1.6158311492991833
0.2,0.1,2094,1.4057292864285986,1.3418214429884598
0.2,0.2,2094,1.049883597683325,0.9826406757685624
