delta,n,method,horizon
0.05,50,union_anyalloc,2
0.05,50,auc,1
0.05,50,optimal,2
0.05,50,aucb_lam0.05,2
0.05,50,aucb_lam0.01,2
0.05,50,cs,-1
0.05,58,union_anyalloc,2
0.05,58,auc,1
0.05,58,optimal,2
0.05,58,aucb_lam0.05,2
0.05,58,aucb_lam0.01,2
0.05,58,cs,-1
0.05,66,union_anyalloc,3
0.05,66,auc,1
0.05,66,optimal,3
0.05,66,aucb_lam0.05,3
0.05,66,aucb_lam0.01,3
0.05,66,cs,-1
0.05,76,union_anyalloc,3
0.05,76,auc,1
0.05,76,optimal,3
0.05,76,aucb_lam0.05,3
0.05,76,aucb_lam0.01,3
0.05,76,cs,-1
0.05,88,union_anyalloc,4
0.05,88,auc,1
0.05,88,optimal,4
0.05,88,aucb_lam0.05,4
0.05,88,aucb_lam0.01,4
0.05,88,cs,-1
0.05,101,union_anyalloc,5
0.05,101,auc,1
0.05,101,optimal,5
0.05,101,aucb_lam0.05,5
0.05,101,aucb_lam0.01,5
0.05,101,cs,-1
0.05,116,union_anyalloc,5
0.05,116,auc,1
0.05,116,optimal,5
0.05,116,aucb_lam0.05,5
0.05,116,aucb_lam0.01,5
0.05,116,cs,-1
0.05,134,union_anyalloc,6
0.05,134,auc,2
0.05,134,optimal,6
0.05,134,aucb_lam0.05,6
0.05,134,aucb_lam0.01,6
0.05,134,cs,-1
0.05,154,union_anyalloc,7
0.05,154,auc,2
0.05,154,optimal,7
0.05,154,aucb_lam0.05,7
0.05,154,aucb_lam0.01,7
0.05,154,cs,-1
0.05,177,union_anyalloc,8
0.05,177,auc,2
0.05,177,optimal,9
0.05,177,aucb_lam0.05,9
0.05,177,aucb_lam0.01,9
0.05,177,cs,-1
0.05,204,union_anyalloc,10
0.05,204,auc,2
0.05,204,optimal,10
0.05,204,aucb_lam0.05,10
0.05,204,aucb_lam0.01,10
0.05,204,cs,-1
0.05,235,union_anyalloc,11
0.05,235,auc,2
0.05,235,optimal,12
0.05,235,aucb_lam0.05,12
0.05,235,aucb_lam0.01,12
0.05,235,cs,-1
0.05,270,union_anyalloc,13
0.05,270,auc,3
0.05,270,optimal,13
0.05,270,aucb_lam0.05,13
0.05,270,aucb_lam0.01,13
0.05,270,cs,-1
0.05,311,union_anyalloc,15
0.05,311,auc,3
0.05,311,optimal,15
0.05,311,aucb_lam0.05,15
0.05,311,aucb_lam0.01,15
0.05,311,cs,-1
0.05,358,union_anyalloc,17
0.05,358,auc,3
0.05,358,optimal,18
0.05,358,aucb_lam0.05,18
0.05,358,aucb_lam0.01,18
0.05,358,cs,-1
0.05,412,union_anyalloc,20
0.05,412,auc,4
0.05,412,optimal,21
0.05,412,aucb_lam0.05,21
0.05,412,aucb_lam0.01,21
0.05,412,cs,-1
0.05,474,union_anyalloc,23
0.05,474,auc,4
0.05,474,optimal,24
0.05,474,aucb_lam0.05,23
0.05,474,aucb_lam0.01,24
0.05,474,cs,-1
0.05,546,union_anyalloc,27
0.05,546,auc,4
0.05,546,optimal,28
0.05,546,aucb_lam0.05,26
0.05,546,aucb_lam0.01,28
0.05,546,cs,-1
0.05,628,union_anyalloc,31
0.05,628,auc,5
0.05,628,optimal,32
0.05,628,aucb_lam0.05,29
0.05,628,aucb_lam0.01,32
0.05,628,cs,-1
0.05,723,union_anyalloc,36
0.05,723,auc,5
0.05,723,optimal,37
0.05,723,aucb_lam0.05,32
0.05,723,aucb_lam0.01,37
0.05,723,cs,-1
0.05,832,union_anyalloc,41
0.05,832,auc,5
0.05,832,optimal,42
0.05,832,aucb_lam0.05,34
0.05,832,aucb_lam0.01,42
0.05,832,cs,-1
0.05,957,union_anyalloc,47
0.05,957,auc,6
0.05,957,optimal,49
0.05,957,aucb_lam0.05,37
0.05,957,aucb_lam0.01,49
0.05,957,cs,-1
0.05,1102,union_anyalloc,55
0.05,1102,auc,6
0.05,1102,optimal,56
0.05,1102,aucb_lam0.05,40
0.05,1102,aucb_lam0.01,56
0.05,1102,cs,-1
0.05,1268,union_anyalloc,63
0.05,1268,auc,7
0.05,1268,optimal,65
0.05,1268,aucb_lam0.05,43
0.05,1268,aucb_lam0.01,65
0.05,1268,cs,-1
0.05,1460,union_anyalloc,73
0.05,1460,auc,8
0.05,1460,optimal,74
0.05,1460,aucb_lam0.05,45
0.05,1460,aucb_lam0.01,74
0.05,1460,cs,-1
0.05,1680,union_anyalloc,84
0.05,1680,auc,8
0.05,1680,optimal,86
0.05,1680,aucb_lam0.05,48
0.05,1680,aucb_lam0.01,86
0.05,1680,cs,-1
0.05,1933,union_anyalloc,96
0.05,1933,auc,9
0.05,1933,optimal,99
0.05,1933,aucb_lam0.05,51
0.05,1933,aucb_lam0.01,99
0.05,1933,cs,-1
0.05,2225,union_anyalloc,111
0.05,2225,auc,10
0.05,2225,optimal,114
0.05,2225,aucb_lam0.05,53
0.05,2225,aucb_lam0.01,113
0.05,2225,cs,-1
0.05,2561,union_anyalloc,128
0.05,2561,auc,10
0.05,2561,optimal,131
0.05,2561,aucb_lam0.05,56
0.05,2561,aucb_lam0.01,127
0.05,2561,cs,-1
0.05,2948,union_anyalloc,147
0.05,2948,auc,11
0.05,2948,optimal,151
