curve,delta,x,radius
union,0.05,1,1.6158311492991833
gauss,0.05,1,1.3214356695941936
union,0.05,2,1.8305786851595638
gauss,0.05,2,1.466363892976981
union,0.05,3,1.935556458296628
gauss,0.05,3,1.5448514348783675
union,0.05,4,2.0113851789881694
gauss,0.05,4,1.59820333636786
union,0.05,5,2.072113631910758
gauss,0.05,5,1.6383903021716786
union,0.05,6,2.0850178536107213
gauss,0.05,6,1.670507944787005
union,0.05,7,2.1195372864202917
gauss,0.05,7,1.697188908135593
union,0.05,8,2.1389483201267514
gauss,0.05,8,1.7199664944783406
union,0.05,9,2.156600053196869
gauss,0.05,9,1.7398102433356482
union,0.05,10,2.1655953243567683
gauss,0.05,10,1.757371224300932
union,0.05,11,2.1907302465376826
gauss,0.05,11,1.7731072398180894
union,0.05,12,2.2631487646439266
gauss,0.05,12,1.787352128526233
union,0.05,13,2.2631487646439266
gauss,0.05,13,1.800356628071938
union,0.05,14,2.272978232542918
gauss,0.05,14,1.8123137221930532
union,0.05,15,2.3240788607323712
gauss,0.05,15,1.8233750325207652
union,0.05,16,2.3240788607323712
gauss,0.05,16,1.8336617953916323
union,0.05,17,2.3240788607323712
gauss,0.05,17,1.8432724337170838
union,0.05,18,2.3263735537680423
gauss,0.05,18,1.8522879151380327
union,0.05,19,2.3263735537680423
gauss,0.05,19,1.860775628827113
union,0.05,21,2.3523383296305624
gauss,0.05,21,1.8763858656652643
union,0.05,22,2.3523383296305624
gauss,0.05,22,1.8835976538650911
union,0.05,24,2.3523383296305624
gauss,0.05,24,1.8970130387264101
union,0.05,25,2.3523383296305624
gauss,0.05,25,1.903274372134652
union,0.05,27,2.3722851655665242
gauss,0.05,27,1.915023083355797
union,0.05,29,2.3722851655665242
gauss,0.05,29,1.9258676901891474
union,0.05,31,2.3722851655665242
gauss,0.05,31,1.935933964406625
union,0.05,33,2.3722851655665242
gauss,0.05,33,1.945323369228165
union,0.05,35,2.385636299510587
gauss,0.05,35,1.9541189173826745
union,0.05,38,2.385636299510587
gauss,0.05,38,1.966346047517499
union,0.05,40,2.385636299510587
gauss,0.05,40,1.9739339643216187
union,0.05,43,2.385636299510587
gauss,0.05,43,1.9845832115523714
union,0.05,46,2.385636299510587
gauss,0.05,46,1.994462733005998
union,0.05,50,2.385636299510587
gauss,0.05,50,2.0066101199224793
union,0.05,53,2.5939134299394038
gauss,0.05,53,2.015055515042376
union,0.05,57,2.5939134299394038
gauss,0.05,57,2.025551694676498
union,0.05,61,2.5939134299394038
gauss,0.05,61,2.035286958600938
union,0.05,65,2.5939134299394038
gauss,0.05,65,2.0443616464845227
union,0.05,69,2.5939134299394038
gauss,0.05,69,2.0528576381641517
union,0.05,74,2.5939134299394038
gauss,0.05,74,2.06276583115126
union,0.05,79,2.5939134299394038
gauss,0.05,79,2.071983119033289
union,0.05,85,2.5939134299394038
gauss,0.05,85,2.0822545037232243
union,0.05,91,2.5939134299394038
gauss,0.05,91,2.0917796129767567
union,0.05,97,2.5939134299394038
gauss,0.05,97,2.1006571694559466
union,0.05,104,2.5939134299394038
gauss,0.05,104,2.1103024668266905
union,0.05,105,inf
gauss,0.05,105,2.1116236573411307
union,0.05,111,inf
gauss,0.05,111,2.1192795387546903
union,0.05,119,inf
gauss,0.05,119,2.1288286041680133
union,0.05,127,inf
gauss,0.05,127,2.1377175579688417
union,0.05,136,inf
gauss,0.05,136,2.147031853083125
union,0.05,145,inf
gauss,0.05,145,2.155712623122301
union,0.05,155,inf
gauss,0.05,155,2.164710342728907
union,0.05,166,inf
gauss,0.05,166,2.1739217071384576
union,0.05,178,inf
gauss,0.05,178,2.1832588187822615
union,0.05,190,inf
gauss,0.05,190,2.1919505769889156
union,0.05,203,inf
gauss,0.05,203,2.200732678254475
union,0.05,218,inf
gauss,0.05,218,2.210153444767521
union,0.05,233,inf
gauss,0.05,233,2.2189109817945343
union,0.05,249,inf
gauss,0.05,249,2.2276172198084057
union,0.05,266,inf
gauss,0.05,266,2.236241207832984
union,0.05,285,inf
gauss,0.05,285,2.245214961018473
union,0.05,305,inf
gauss,0.05,305,2.254001676402528
union,0.05,326,inf
gauss,0.05,326,2.2625949392640146
union,0.05,348,inf
gauss,0.05,348,2.270991361186978
union,0.05,373,inf
gauss,0.05,373,2.279877306379647
union,0.05,399,inf
gauss,0.05,399,2.288474957002909
union,0.05,426,inf
gauss,0.05,426,2.296798701289527
union,0.05,456,inf
gauss,0.05,456,2.305418005711566
union,0.05,488,inf
gauss,0.05,488,2.3139761271679777
union,0.05,522,inf
gauss,0.05,522,2.3224436810835756
union,0.05,558,inf
gauss,0.05,558,2.3307978475693027
union,0.05,597,inf
gauss,0.05,597,2.3392301722729263
union,0.05,638,inf
gauss,0.05,638,2.347491054910477
union,0.05,683,inf
gauss,0.05,683,2.3559376612217164
union,0.05,730,inf
gauss,0.05,730,2.364156006285421
union,0.05,781,inf
gauss,0.05,781,2.3724663884961736
union,0.05,836,inf
gauss,0.05,836,2.3808117673091904
union,0.05,894,inf
gauss,0.05,894,2.3890088946637875
union,0.05,956,inf
gauss,0.05,956,2.397174949761267
union,0.05,1022,inf
gauss,0.05,1022,2.405277744815287
union,0.05,1094,inf
gauss,0.05,1094,2.4135127812839907
union,0.05,1170,inf
gauss,0.05,1170,2.421609554264984
union,0.05,1251,inf
gauss,0.05,1251,2.4296525283106565
union,0.05,1338,inf
gauss,0.05,1338,2.43770402538353
union,0.05,1431,inf
gauss,0.05,1431,2.4457248229537973
union,0.05,1531,inf
gauss,0.05,1531,2.453760982965205
union,0.05,1637,inf
gauss,0.05,1637,2.4616994689805622
union,0.05,1751,inf
gauss,0.05,1751,2.469656995317363
union,0.05,1873,inf
gauss,0.05,1873,2.4775928004148007
union,0.05,2004,inf
gauss,0.05,2004,2.485532510819236
